"","protein1","protein2"
"2159317","IL-1b","4-1BB"
"2159335","IL-1b","CTLA4"
"2159404","IL-1b","CD4"
"2159590","IL-1b","CD123"
"2159780","IL-1b","GZMA"
"2159818","IL-1b","IDO1"
"2159957","IL-1b","Vimentin"
"2160033","IL-1b","ICAM1"
"2160057","IL-1b","CD31"
"2160103","IL-1b","CD68"
"2160149","IL-1b","CD3"
"2160191","IL-1b","TCF7"
"2160265","IL-1b","IL-18"
"2160317","IL-1b","EpCAM"
"2160618","IL-1b","GZMB"
"2160746","IL-1b","HLA-DR"
"2160774","IL-1b","CD40"
"2160890","IL-1b","ICOS"
"2160967","IL-1b","FABP4"
"2161016","IL-1b","Her2"
"2161099","IL-1b","CD45"
"2161137","IL-1b","LAG3"
"2161277","IL-1b","pan-RAS"
"2161354","IL-1b","CD127"
"2161358","IL-1b","Tim-3"
"2161518","IL-1b","PD-L1"
"2161535","IL-1b","EGFR"
"2161613","IL-1b","B7-H3"
"2161709","IL-1b","PD-L2"
"2162026","IL-1b","CD38"
"2162375","IL-1b","CD34"
"2162387","IL-1b","CCR7"
"2162435","IL-1b","SMA"
"2209043","EpCAM","CD123"
"2209104","EpCAM","PD-L2"
"2209134","EpCAM","IL-1b"
"2209205","EpCAM","PD-L1"
"2209216","EpCAM","CTLA4"
"2209223","EpCAM","4-1BB"
"2209319","EpCAM","B7-H3"
"2209355","EpCAM","CD4"
"2209394","EpCAM","EGFR"
"2209433","EpCAM","TCF7"
"2209467","EpCAM","CD3"
"2209492","EpCAM","CD68"
"2209509","EpCAM","SMA"
"2209561","EpCAM","CCR7"
"2209570","EpCAM","CD34"
"2209585","EpCAM","IL-18"
"2209652","EpCAM","CD38"
"2209697","EpCAM","IDO1"
"2209723","EpCAM","GZMA"
"2209758","EpCAM","CD31"
"2209770","EpCAM","ICAM1"
"2209817","EpCAM","Vimentin"
"2209846","EpCAM","HLA-DR"
"2209953","EpCAM","GZMB"
"2209974","EpCAM","FOXP3"
"2210046","EpCAM","CD40"
"2210253","EpCAM","Fibronectin"
"2210277","EpCAM","pan-RAS"
"2210395","EpCAM","Tim-3"
"2210399","EpCAM","CD127"
"2210455","EpCAM","CD27"
"2210471","EpCAM","Her2"
"2210500","EpCAM","FABP4"
"2210533","EpCAM","p53"
"2210548","EpCAM","ICOS"
"2210570","EpCAM","CD15"
"2210577","EpCAM","LAG3"
"2210581","EpCAM","Ki-67"
"2210607","EpCAM","CD45"
"2210614","EpCAM","NF-kB p65"
